id,date,tweet
1289347974045134848,2020-07-31 23:51:26+00:00,이태원 클라쓰 조이서 너무 진짜 엄청 좋아 조이서처럼 살고 싶어
1336163620833529856,2020-12-08 04:20:06+00:00,요즘 코로나 때문에 헬스도 못하니 뱃살 다시 나오는 듯ㅠㅠ 그래서 식단 관리라도 하려고 단백질쉐이크 챙겨 먹고 있는데 이거 진짜 괜찮네요. 포만감이 오래가서 자기 전까지 안배고픔;; 물이랑도 잘 섞이고 맛도 존맛ㅋㅋ 지금 세일하니까 필요한 사람 ㄱㄱ
1289337934127099904,2020-07-31 23:11:32+00:00,"며칠전에옛날미국에서처음귀국했을때살았던동네이태원한강맨션을방문했었다.당시집이지금15-20배이상올랐다.물론반포,잠실모두엄창나게올랐다.나는비싼지역을떠나서북쪽변두리의산밑에살지만더행복하다.강남교통혼잡과환경오염싫었다.나는왜사람들이공장식아파트숲을선호하는지이해할수없다.한심하다."
1289303709655035904,2020-07-31 20:55:33+00:00,"“ 그건 한나가 제 개라서 그래요. ”

-연민의 굴레, 이태원"
1289251840710729729,2020-07-31 17:29:26+00:00,이태원은 술도 잘마실것같음 미향이 취하면 니가 업어서 데려가주라~~~
1289249560808714240,2020-07-31 17:20:23+00:00,[다문화척결] 이 땅이 외국인들한테 호구 나라냐?? 외국가봐라 자국민들 얼마나 보호해주는지. 그리고 이태원 가면 완전히 짐승같은 양키세키들이 주인이다. 이건뭐.. ㅉㅉㅉ 우리나라 공권력 정말 답답한 수준. ㅅㅂ
1289242017483153409,2020-07-31 16:50:24+00:00,"와 기뫙풸 향수 걍 바텀아냐? 향수취향이 완전 찐인데
이태원 그쪽 골목 저녁 때 가면 맡을 수 있는 냄새들임"
1289232761220284416,2020-07-31 16:13:37+00:00,저기 맛있음 한남동에 이태원 우육미엔
1289227154064957440,2020-07-31 15:51:20+00:00,#이태원 #이태원조건 지금바로 가능한분?
1289222231218823168,2020-07-31 15:31:47+00:00,"결국 이태원 동생네도 미아리 언니네도 안가고
집에서 10분거리 이모네 왔댜..
화장실 공사....개싫어"
1289219000350588930,2020-07-31 15:18:56+00:00,우린 아닌 거 당연히 아는데 또 뭘 모르는 것들한텐 이태원처럼 개같은 루머로 퍼지겠지 개또라이새끼들
1289215690008756227,2020-07-31 15:05:47+00:00,"안전한 모임.. 그런거 없어… 무증상 감염자가 어디 있을지 모르는데 “증상이 없으니 안전하다” 면서 위험한것이 분명한 공간을 찾아다니냐…. 그 사람은 무증상이어도 너랑, 니 가족은 안그럴수도 있어.. 이태원때 안봤냐. 손자가 할머니한테 옮긴거."
1289205997722988544,2020-07-31 14:27:16+00:00,헐 후쿠시 소우타 이태원클라스 봤대 한국말하는거 개기여워
1289204132214005761,2020-07-31 14:19:52+00:00,이태원클라쓰 보는데 초반이라 그런지 이서 개빡침
1289188655890747392,2020-07-31 13:18:22+00:00,이태원 메이드 다채롭게 못생긴애들이 간다던데 아닌가보네?
